Batting,,R,B,M,4s,6s,SR
Rohit Sharma (c),c Klaasen b Maharaj,9,5,7,2,0,180
Virat Kohli,c Rabada b Jansen,76,59,87,6,2,128.81
Rishabh Pant †,c †de Kock b Maharaj,0,2,2,0,0,0
Suryakumar Yadav,c Klaasen b Rabada,3,4,9,0,0,75
Axar Patel,run out (†de Kock),47,31,38,1,4,151.61
Shivam Dube,c Miller b Nortje,27,16,32,3,1,168.75
Hardik Pandya,not out,5,2,7,1,0,250
Ravindra Jadeja,c Maharaj b Nortje,2,2,1,0,0,100
Reeza Hendricks,b Bumrah,4,5,6,1,0,80
Quinton de Kock †,c Kuldeep Yadav b Arshdeep Singh,39,31,54,4,1,125.8
Aiden Markram (c),c †Pant b Arshdeep Singh,4,5,4,1,0,80
Tristan Stubbs,b Patel,31,21,24,3,1,147.61
Heinrich Klaasen,c †Pant b Pandya,52,27,33,2,5,192.59
David Miller,c Yadav b Pandya,21,17,37,1,1,123.52
Marco Jansen,b Bumrah,2,4,7,0,0,50
Keshav Maharaj,not out,2,7,18,0,0,28.57
Kagiso Rabada,c Yadav b Pandya,4,3,5,1,0,133.33
Anrich Nortje,not out,1,1,1,0,0,100
Rohit Sharma (c),b Rashid,57,39,57,6,2,146.15
Virat Kohli,b Topley,9,9,10,0,1,100
Rishabh Pant †,c Bairstow b Curran,4,6,12,0,0,66.66
Suryakumar Yadav,c Jordan b Archer,47,36,40,4,2,130.55
Hardik Pandya,c Curran b Jordan,23,13,17,1,2,176.92
Ravindra Jadeja,not out,17,9,24,2,0,188.88
Shivam Dube,c †Buttler b Jordan,0,1,1,0,0,0
Axar Patel,c Salt b Jordan,10,6,10,0,1,166.66
Arshdeep Singh,not out,1,1,1,0,0,100
Phil Salt,b Bumrah,5,8,20,0,0,62.5
Jos Buttler (c)†,c †Pant b Patel,23,15,13,4,0,153.33
Moeen Ali,st †Pant b Patel,8,10,18,0,0,80
Jonny Bairstow,b Patel,0,3,2,0,0,0
Harry Brook,b Kuldeep Yadav,25,19,21,3,0,131.57
Sam Curran,lbw b Kuldeep Yadav,2,4,4,0,0,50
Liam Livingstone,run out (Kuldeep Yadav/Patel),11,16,24,0,0,68.75
Chris Jordan,lbw b Kuldeep Yadav,1,5,6,0,0,20
Jofra Archer,lbw b Bumrah,21,15,17,1,2,140
Adil Rashid,run out (Yadav),2,2,2,0,0,100
Reece Topley,not out,3,3,6,0,0,100
Rahmanullah Gurbaz †,c Hendricks b Jansen,0,3,5,0,0,0
Ibrahim Zadran,b Rabada,2,5,15,0,0,40
Gulbadin Naib,b Jansen,9,8,6,2,0,112.5
Azmatullah Omarzai,c Stubbs b Nortje,10,12,18,2,0,83.33
Mohammad Nabi,b Rabada,0,3,1,0,0,0
Nangeyalia Kharote,c †de Kock b Jansen,2,7,5,0,0,28.57
Karim Janat,lbw b Shamsi,8,13,22,1,0,61.53
Rashid Khan (c),b Nortje,8,8,20,2,0,100
Noor Ahmad,lbw b Shamsi,0,2,2,0,0,0
Naveen-ul-Haq,lbw b Shamsi,2,8,9,0,0,25
Fazalhaq Farooqi,not out,2,2,6,0,0,100
Quinton de Kock †,b Fazalhaq Farooqi,5,8,7,1,0,62.5
Reeza Hendricks,not out,29,25,44,3,1,116
Aiden Markram (c),not out,23,21,35,4,0,109.52
Rahmanullah Gurbaz †,c Soumya Sarkar b Rishad Hossain,43,55,69,3,1,78.18
Ibrahim Zadran,c Tanzim Hasan Sakib b Rishad Hossain,18,29,46,1,0,62.06
Azmatullah Omarzai,c †Litton Das b Mustafizur Rahman,10,12,20,0,0,83.33
Gulbadin Naib,c Soumya Sarkar b Rishad Hossain,4,3,4,1,0,133.33
Mohammad Nabi,c Najmul Hossain Shanto b Taskin Ahmed,1,5,6,0,0,20
Karim Janat,not out,7,6,15,1,0,116.66
Rashid Khan (c),not out,19,10,10,0,3,190
Litton Das †,not out,54,49,95,5,1,110.2
Tanzid Hasan,lbw b Fazalhaq Farooqi,0,3,12,0,0,0
Najmul Hossain Shanto (c),c Mohammad Nabi b Naveen-ul-Haq,5,5,7,1,0,100
Shakib Al Hasan,c & b Naveen-ul-Haq,0,1,1,0,0,0
Soumya Sarkar,b Rashid Khan,10,10,18,1,0,100
Towhid Hridoy,c Ibrahim Zadran b Rashid Khan,14,9,7,2,0,155.55
Mahmudullah,c sub (†Mohammad Ishaq) b Rashid Khan,6,9,8,1,0,66.66
Rishad Hossain,b Rashid Khan,0,1,1,0,0,0
Tanzim Hasan Sakib,c Mohammad Nabi b Gulbadin Naib,3,10,13,0,0,30
Taskin Ahmed,b Naveen-ul-Haq,2,9,31,0,0,22.22
Mustafizur Rahman,lbw b Naveen-ul-Haq,0,1,1,0,0,0
Rohit Sharma (c),b Starc,92,41,59,7,8,224.39
Virat Kohli,c David b Hazlewood,0,5,8,0,0,0
Rishabh Pant †,c Hazlewood b Stoinis,15,14,33,1,1,107.14
Suryakumar Yadav,c †Wade b Starc,31,16,29,3,2,193.75
Shivam Dube,c Warner b Stoinis,28,22,33,2,1,127.27
Hardik Pandya,not out,27,17,24,1,2,158.82
Ravindra Jadeja,not out,9,5,4,0,1,180
David Warner,c Yadav b Arshdeep Singh,6,6,5,1,0,100
Travis Head,c Sharma b Bumrah,76,43,76,9,4,176.74
Mitchell Marsh (c),c Patel b Kuldeep Yadav,37,28,38,3,2,132.14
Glenn Maxwell,b Kuldeep Yadav,20,12,15,2,1,166.66
Marcus Stoinis,c Pandya b Patel,2,4,4,0,0,50
Tim David,c Bumrah b Arshdeep Singh,15,11,22,1,1,136.36
Matthew Wade †,c Kuldeep Yadav b Arshdeep Singh,1,2,5,0,0,50
Pat Cummins,not out,11,7,15,0,1,157.14
Mitchell Starc,not out,4,7,9,0,0,57.14
Kyle Mayers,c Stubbs b Shamsi,35,34,53,3,2,102.94
Shai Hope,c Stubbs b Jansen,0,1,3,0,0,0
Nicholas Pooran †,c Jansen b Markram,1,3,4,0,0,33.33
Roston Chase,c Rabada b Shamsi,52,42,59,3,2,123.8
Rovman Powell (c),st †de Kock b Maharaj,1,2,2,0,0,50
Sherfane Rutherford,c Markram b Shamsi,0,4,5,0,0,0
Andre Russell,run out (Nortje),15,9,15,0,2,166.66
Akeal Hosein,c & b Rabada,6,11,12,1,0,54.54
Alzarri Joseph,not out,11,7,14,0,1,157.14
Gudakesh Motie,not out,4,7,10,1,0,57.14
Quinton de Kock †,c Rutherford b Russell,12,7,10,3,0,171.42
Reeza Hendricks,c †Pooran b Russell,0,1,5,0,0,0
Aiden Markram (c),c Mayers b Joseph,18,15,20,2,0,120
Tristan Stubbs,c Mayers b Chase,29,27,55,4,0,107.4
Heinrich Klaasen,c †Pooran b Joseph,22,10,13,3,1,220
David Miller,b Chase,4,14,18,0,0,28.57
Marco Jansen,not out,21,14,22,1,1,150
Keshav Maharaj,c Joseph b Chase,2,6,9,0,0,33.33
Kagiso Rabada,not out,5,3,5,1,0,166.66
Steven Taylor,c Ali b Curran,12,13,25,2,0,92.3
Andries Gous †,c Salt b Topley,8,5,4,0,1,160
Nitish Kumar,b Rashid,30,24,38,1,2,125
Aaron Jones (c),b Rashid,10,16,10,2,0,62.5
Corey Anderson,c Brook b Jordan,29,28,43,0,1,103.57
Milind Kumar,c †Buttler b Livingstone,4,6,13,0,0,66.66
Harmeet Singh,c Jordan b Curran,21,17,19,2,1,123.52
Shadley van Schalkwyk,not out,0,0,7,0,0,-
Ali Khan,b Jordan,0,2,1,0,0,0
Nosthush Kenjige,lbw b Jordan,0,1,1,0,0,0
Saurabh Netravalkar,b Jordan,0,1,1,0,0,0
Phil Salt,not out,25,21,44,2,0,119.04
Jos Buttler (c)†,not out,83,38,44,6,7,218.42
Rahmanullah Gurbaz †,c Warner b Stoinis,60,49,66,4,4,122.44
Ibrahim Zadran,c Marsh b Zampa,51,48,73,6,0,106.25
Azmatullah Omarzai,b Zampa,2,3,2,0,0,66.66
Karim Janat,c David b Cummins,13,9,13,0,1,144.44
Rashid Khan (c),c David b Cummins,2,5,4,0,0,40
Mohammad Nabi,not out,10,4,10,2,0,250
Gulbadin Naib,c Maxwell b Cummins,0,1,12,0,0,0
Nangeyalia Kharote,not out,1,1,2,0,0,100
Travis Head,b Naveen-ul-Haq,0,3,2,0,0,0
David Warner,c Noor Ahmad b Mohammad Nabi,3,8,27,0,0,37.5
Mitchell Marsh (c),c Mohammad Nabi b Naveen-ul-Haq,12,9,9,2,0,133.33
Glenn Maxwell,c Noor Ahmad b Gulbadin Naib,59,41,58,6,3,143.9
Marcus Stoinis,c †Rahmanullah Gurbaz b Gulbadin Naib,11,17,20,1,0,64.7
Tim David,lbw b Gulbadin Naib,2,4,9,0,0,50
Matthew Wade †,c Karim Janat b Rashid Khan,5,7,16,0,0,71.42
Pat Cummins,b Gulbadin Naib,3,9,9,0,0,33.33
Ashton Agar,c Gulbadin Naib b Naveen-ul-Haq,2,5,10,0,0,40
Adam Zampa,c Mohammad Nabi b Azmatullah Omarzai,9,7,15,1,0,128.57
Josh Hazlewood,not out,5,7,10,0,0,71.42
Rohit Sharma (c),c Jaker Ali b Shakib Al Hasan,23,11,14,3,1,209.09
Virat Kohli,b Tanzim Hasan Sakib,37,28,34,1,3,132.14
Rishabh Pant †,c Tanzim Hasan Sakib b Rishad Hossain,36,24,36,4,2,150
Suryakumar Yadav,c †Litton Das b Tanzim Hasan Sakib,6,2,2,0,1,300
Shivam Dube,b Rishad Hossain,34,24,38,0,3,141.66
Hardik Pandya,not out,50,27,38,4,3,185.18
Axar Patel,not out,3,5,13,0,0,60
Litton Das †,c Yadav b Pandya,13,10,20,1,1,130
Tanzid Hasan,lbw b Kuldeep Yadav,29,31,41,4,0,93.54
Najmul Hossain Shanto (c),c Arshdeep Singh b Bumrah,40,32,46,1,3,125
Towhid Hridoy,lbw b Kuldeep Yadav,4,6,6,0,0,66.66
Shakib Al Hasan,c Sharma b Kuldeep Yadav,11,7,7,1,1,157.14
Mahmudullah,c Patel b Arshdeep Singh,13,15,30,1,0,86.66
Jaker Ali,c Kohli b Arshdeep Singh,1,4,3,0,0,25
Rishad Hossain,c Sharma b Bumrah,24,10,9,1,3,240
Mahedi Hasan,not out,5,4,7,1,0,125
Tanzim Hasan Sakib,not out,1,1,1,0,0,100
Steven Taylor,c Chase b Russell,2,7,5,0,0,28.57
Andries Gous †,c Hope b Joseph,29,16,37,3,1,181.25
Nitish Kumar,lbw b Motie,20,19,23,2,0,105.26
Aaron Jones (c),b Chase,11,11,12,0,1,100
Corey Anderson,lbw b Chase,7,15,23,0,0,46.66
Milind Kumar,run out (Motie/Russell),19,21,35,1,0,90.47
Harmeet Singh,c Charles b Chase,0,1,1,0,0,0
Shadley van Schalkwyk,c Charles b Russell,18,17,17,3,0,105.88
Nosthush Kenjige,c †Pooran b Joseph,1,3,8,0,0,33.33
Ali Khan,not out,14,6,11,1,1,233.33
Saurabh Netravalkar,c Powell b Russell,0,4,4,0,0,0
Shai Hope,not out,82,39,-,4,8,210.25
Johnson Charles,c Milind Kumar b Harmeet Singh,15,14,-,2,0,107.14
Nicholas Pooran †,not out,27,12,-,1,3,225
Reeza Hendricks,c Brook b Ali,19,25,41,1,0,76
Quinton de Kock †,c †Buttler b Archer,65,38,50,4,4,171.05
Heinrich Klaasen,run out (†Buttler),8,13,21,1,0,61.53
David Miller,c Brook b Archer,43,28,40,4,2,153.57
Aiden Markram (c),b Rashid,1,2,4,0,0,50
Tristan Stubbs,not out,12,11,28,1,0,109.09
Marco Jansen,c Curran b Archer,0,1,1,0,0,0
Keshav Maharaj,not out,5,2,3,1,0,250
Phil Salt,c Hendricks b Rabada,11,8,8,1,1,137.5
Jos Buttler (c)†,c Klaasen b Maharaj,17,20,38,1,0,85
Jonny Bairstow,c Nortje b Maharaj,16,20,20,1,0,80
Moeen Ali,c Maharaj b Baartman,9,10,15,0,0,90
Harry Brook,c Markram b Nortje,53,37,50,7,0,143.24
Liam Livingstone,c Stubbs b Rabada,33,17,33,3,2,194.11
Sam Curran,not out,10,7,14,1,0,142.85
Jofra Archer,not out,1,2,4,0,0,50
Tanzid Hasan,b Starc,0,3,2,0,0,0
Litton Das †,b Zampa,16,25,42,2,0,64
Najmul Hossain Shanto (c),lbw b Zampa,41,36,57,5,1,113.88
Rishad Hossain,c Zampa b Maxwell,2,4,5,0,0,50
Towhid Hridoy,c Hazlewood b Cummins,40,28,40,2,2,142.85
Shakib Al Hasan,c & b Stoinis,8,10,27,0,0,80
Mahmudullah,b Cummins,2,3,7,0,0,66.66
Mahedi Hasan,c Zampa b Cummins,0,1,1,0,0,0
Taskin Ahmed,not out,13,7,9,1,0,185.71
Tanzim Hasan Sakib,not out,4,3,3,0,0,133.33
David Warner,not out,53,35,52,5,3,151.42
Travis Head,b Rishad Hossain,31,21,30,3,2,147.61
Mitchell Marsh (c),lbw b Rishad Hossain,1,6,8,0,0,16.66
Glenn Maxwell,not out,14,6,12,1,1,233.33
Rohit Sharma (c),c Rashid Khan b Fazalhaq Farooqi,8,13,13,1,0,61.53
Virat Kohli,c Mohammad Nabi b Rashid Khan,24,24,41,0,1,100
Rishabh Pant †,lbw b Rashid Khan,20,11,20,4,0,181.81
Suryakumar Yadav,c Mohammad Nabi b Fazalhaq Farooqi,53,28,51,5,3,189.28
Shivam Dube,lbw b Rashid Khan,10,7,11,0,1,142.85
Hardik Pandya,c Azmatullah Omarzai b Naveen-ul-Haq,32,24,40,3,2,133.33
Ravindra Jadeja,c Gulbadin Naib b Fazalhaq Farooqi,7,5,11,1,0,140
Axar Patel,run out (†Rahmanullah Gurbaz/Naveen-ul-Haq),12,6,11,2,0,200
Arshdeep Singh,not out,2,2,8,0,0,100
Rahmanullah Gurbaz †,c †Pant b Bumrah,11,8,7,1,1,137.5
Hazratullah Zazai,c Jadeja b Bumrah,2,4,20,0,0,50
Ibrahim Zadran,c Sharma b Patel,8,11,9,1,0,72.72
Gulbadin Naib,c †Pant b Kuldeep Yadav,17,21,25,1,1,80.95
Azmatullah Omarzai,c Patel b Jadeja,26,20,26,2,1,130
Najibullah Zadran,c Arshdeep Singh b Bumrah,19,17,22,0,2,111.76
Mohammad Nabi,c Jadeja b Kuldeep Yadav,14,14,24,0,1,100
Rashid Khan (c),c Jadeja b Arshdeep Singh,2,6,11,0,0,33.33
Noor Ahmad,c Sharma b Arshdeep Singh,12,18,19,1,1,66.66
Naveen-ul-Haq,c †Pant b Arshdeep Singh,0,1,1,0,0,0
Fazalhaq Farooqi,not out,4,1,11,1,0,400
Brandon King,retired hurt,23,13,23,3,1,176.92
Johnson Charles,c Brook b Ali,38,34,55,4,1,111.76
Nicholas Pooran †,c †Buttler b Archer,36,32,53,4,1,112.5
Rovman Powell (c),c Wood b Livingstone,36,17,18,0,5,211.76
Andre Russell,c Salt b Rashid,1,2,7,0,0,50
Sherfane Rutherford,not out,28,15,20,1,2,186.66
Romario Shepherd,not out,5,7,16,1,0,71.42
Phil Salt,not out,87,47,79,7,5,185.1
Jos Buttler (c)†,lbw b Chase,25,22,34,2,0,113.63
Moeen Ali,c Charles b Russell,13,10,9,2,0,130
Jonny Bairstow,not out,48,26,32,5,2,184.61
Quinton de Kock †,c Shayan Jahangir b Harmeet Singh,74,40,54,7,5,185
Reeza Hendricks,c Anderson b Netravalkar,11,11,12,0,1,100
Aiden Markram (c),c Ali Khan b Netravalkar,46,32,52,4,1,143.75
David Miller,c & b Harmeet Singh,0,1,1,0,0,0
Heinrich Klaasen,not out,36,22,35,0,3,163.63
Tristan Stubbs,not out,20,16,24,2,0,125
Steven Taylor,c Klaasen b Rabada,24,14,16,4,1,171.42
Andries Gous †,not out,80,47,88,5,5,170.21
Nitish Kumar,c Stubbs b Rabada,8,6,9,0,1,133.33
Aaron Jones (c),c †de Kock b Maharaj,0,5,4,0,0,0
Corey Anderson,b Nortje,12,12,10,0,1,100
Shayan Jahangir,lbw b Shamsi,3,9,51,0,0,33.33
Harmeet Singh,c Stubbs b Rabada,38,22,30,2,3,172.72
Jasdeep Singh,not out,2,6,7,0,0,33.33
Brandon King,b Azmatullah Omarzai,7,6,9,1,0,116.66
Johnson Charles,c Gulbadin Naib b Naveen-ul-Haq,43,27,43,8,0,159.25
Nicholas Pooran †,run out (Azmatullah Omarzai),98,53,86,6,8,184.9
Shai Hope,c Najibullah Zadran b Gulbadin Naib,25,17,14,0,2,147.05
Rovman Powell (c),c sub (Nangeyalia Kharote) b Gulbadin Naib,26,15,28,1,2,173.33
Andre Russell,not out,3,3,9,0,0,100
Sherfane Rutherford,not out,1,1,1,0,0,100
Rahmanullah Gurbaz †,c Russell b Hosein,0,3,1,0,0,0
Ibrahim Zadran,c Charles b McCoy,38,28,34,5,1,135.71
Gulbadin Naib,lbw b Motie,7,10,26,1,0,70
Azmatullah Omarzai,c Powell b Hosein,23,19,26,1,1,121.05
Najibullah Zadran,c Charles b McCoy,0,2,1,0,0,0
Mohammad Nabi,b McCoy,1,4,4,0,0,25
Karim Janat,run out (King/Hosein),14,9,14,0,1,155.55
Rashid Khan (c),c Powell b Russell,18,11,18,2,1,163.63
Noor Ahmad,c Rutherford b Motie,2,4,6,0,0,50
Naveen-ul-Haq,c †Pooran b Joseph,4,6,5,1,0,66.66
Fazalhaq Farooqi,not out,0,2,3,0,0,0
Tony Ura,c Phillips b Southee,1,2,6,0,0,50
Assad Vala (c),c Mitchell b Ferguson,6,16,19,1,0,37.5
Charles Amini,lbw b Ferguson,17,25,40,2,0,68
Sese Bau,c Allen b Santner,12,27,32,1,0,44.44
Hiri Hiri,b Boult,7,11,16,1,0,63.63
Chad Soper,b Ferguson,1,6,4,0,0,16.66
Kiplin Doriga †,b Southee,5,7,14,1,0,71.42
Norman Vanua,c Mitchell b Boult,14,13,15,1,1,107.69
Alei Nao,c Mitchell b Sodhi,3,7,14,0,0,42.85
Kabua Morea,st †Conway b Sodhi,0,3,3,0,0,0
Semo Kamea,not out,1,1,1,0,0,100
Finn Allen,c †Doriga b Morea,0,2,3,0,0,0
Devon Conway †,lbw b Kamea,35,32,45,2,3,109.37
Rachin Ravindra,c Kamea b Morea,6,11,15,0,0,54.54
Kane Williamson (c),not out,18,17,38,2,0,105.88
Daryl Mitchell,not out,19,12,13,3,0,158.33
Pathum Nissanka,c Engelbrecht b Kingma,0,2,2,0,0,0
Kusal Mendis †,c Engelbrecht b Dutt,46,29,49,5,0,158.62
Kamindu Mendis,c van Beek b van Meekeren,17,20,24,1,1,85
Dhananjaya de Silva,c de Leede b Pringle,34,26,38,3,1,130.76
