Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
India,South Africa,India,7 runs,/cricket-grounds/kensington-oval-bridgetown-barbados-59429,"Jun 29, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard
England,India,India,68 runs,/cricket-grounds/providence-stadium-guyana-208544,"Jun 27, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard
Afghanistan,South Africa,South Africa,9 wickets,/cricket-grounds/brian-lara-stadium-tarouba-trinidad-247418,"Jun 26, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-south-africa-1st-semi-final-1415753/full-scorecard
Afghanistan,Bangladesh,Afghanistan,8 runs,/cricket-grounds/arnos-vale-ground-kingstown-st-vincent-59463,"Jun 24, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-bangladesh-52nd-match-super-eights-group-1-1415752/full-scorecard
Australia,India,India,24 runs,/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518,"Jun 24, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-india-51st-match-super-eights-group-1-1415751/full-scorecard
West Indies,South Africa,South Africa,3 wickets,/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543,"Jun 23, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-south-africa-50th-match-super-eights-group-2-1415750/full-scorecard
England,U.S.A.,England,10 wickets,/cricket-grounds/kensington-oval-bridgetown-barbados-59429,"Jun 23, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-united-states-of-america-49th-match-super-eights-group-2-1415749/full-scorecard
Afghanistan,Australia,Afghanistan,21 runs,/cricket-grounds/arnos-vale-ground-kingstown-st-vincent-59463,"Jun 22, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-australia-48th-match-super-eights-group-1-1415748/full-scorecard
Bangladesh,India,India,50 runs,/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543,"Jun 22, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-india-47th-match-super-eights-group-1-1415747/full-scorecard
West Indies,U.S.A.,West Indies,9 wickets,/cricket-grounds/kensington-oval-bridgetown-barbados-59429,"Jun 21, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-united-states-of-america-46th-match-super-eights-group-2-1415746/full-scorecard
England,South Africa,South Africa,7 runs,/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518,"Jun 21, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-south-africa-45th-match-super-eights-group-2-1415745/full-scorecard
Australia,Bangladesh,Australia,28 runs,/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543,"Jun 20, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-bangladesh-44th-match-super-eights-group-1-1415744/full-scorecard
Afghanistan,India,India,47 runs,/cricket-grounds/kensington-oval-bridgetown-barbados-59429,"Jun 20, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-india-43rd-match-super-eights-group-1-1415743/full-scorecard
West Indies,England,England,8 wickets,/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518,"Jun 19, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-england-42nd-match-super-eights-group-2-1415742/full-scorecard
South Africa,U.S.A.,South Africa,18 runs,/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543,"Jun 19, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/south-africa-vs-united-states-of-america-41st-match-super-eights-group-2-1415741/full-scorecard
West Indies,Afghanistan,West Indies,104 runs,/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518,"Jun 17, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-afghanistan-40th-match-group-c-1415740/full-scorecard
New Zealand,P.N.G.,New Zealand,7 wickets,/cricket-grounds/brian-lara-stadium-tarouba-trinidad-247418,"Jun 17, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/new-zealand-vs-papua-new-guinea-39th-match-group-c-1415739/full-scorecard
Netherlands,Sri Lanka,Sri Lanka,83 runs,/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518,"Jun 16, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/netherlands-vs-sri-lanka-38th-match-group-d-1415738/full-scorecard
Bangladesh,Nepal,Bangladesh,21 runs,/cricket-grounds/arnos-vale-ground-kingstown-st-vincent-59463,"Jun 16, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-nepal-37th-match-group-d-1415737/full-scorecard
Ireland,Pakistan,Pakistan,3 wickets,/cricket-grounds/central-broward-regional-park-stadium-turf-ground-lauderhill-378262,"Jun 16, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/ireland-vs-pakistan-36th-match-group-a-1415736/full-scorecard
Australia,Scotland,Australia,5 wickets,/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518,"Jun 15, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-scotland-35th-match-group-b-1415735/full-scorecard
England,Namibia,England,41 runs,/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543,"Jun 15, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-namibia-34th-match-group-b-1415734/full-scorecard
New Zealand,Uganda,New Zealand,9 wickets,/cricket-grounds/brian-lara-stadium-tarouba-trinidad-247418,"Jun 14, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/new-zealand-vs-uganda-32nd-match-group-c-1415732/full-scorecard
Nepal,South Africa,South Africa,1 run,/cricket-grounds/arnos-vale-ground-kingstown-st-vincent-59463,"Jun 14, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/nepal-vs-south-africa-31st-match-group-d-1415731/full-scorecard
Afghanistan,P.N.G.,Afghanistan,7 wickets,/cricket-grounds/brian-lara-stadium-tarouba-trinidad-247418,"Jun 13, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-papua-new-guinea-29th-match-group-c-1415729/full-scorecard
England,Oman,England,8 wickets,/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543,"Jun 13, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-oman-28th-match-group-b-1415728/full-scorecard
Bangladesh,Netherlands,Bangladesh,25 runs,/cricket-grounds/arnos-vale-ground-kingstown-st-vincent-59463,"Jun 13, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-netherlands-27th-match-group-d-1415727/full-scorecard
West Indies,New Zealand,West Indies,13 runs,/cricket-grounds/brian-lara-stadium-tarouba-trinidad-247418,"Jun 12, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-new-zealand-26th-match-group-c-1415726/full-scorecard
U.S.A.,India,India,7 wickets,/cricket-grounds/nassau-county-international-cricket-stadium-new-york-1417066,"Jun 12, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/united-states-of-america-vs-india-25th-match-group-a-1415725/full-scorecard
Australia,Namibia,Australia,9 wickets,/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543,"Jun 11, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-namibia-24th-match-group-b-1415724/full-scorecard
Canada,Pakistan,Pakistan,7 wickets,/cricket-grounds/nassau-county-international-cricket-stadium-new-york-1417066,"Jun 11, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/canada-vs-pakistan-22nd-match-group-a-1415722/full-scorecard
Bangladesh,South Africa,South Africa,4 runs,/cricket-grounds/nassau-county-international-cricket-stadium-new-york-1417066,"Jun 10, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-south-africa-21st-match-group-d-1415721/full-scorecard
Oman,Scotland,Scotland,7 wickets,/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543,"Jun 9, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/oman-vs-scotland-20th-match-group-b-1415720/full-scorecard
India,Pakistan,India,6 runs,/cricket-grounds/nassau-county-international-cricket-stadium-new-york-1417066,"Jun 9, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-pakistan-19th-match-group-a-1415719/full-scorecard
West Indies,Uganda,West Indies,134 runs,/cricket-grounds/providence-stadium-guyana-208544,"Jun 8, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-uganda-18th-match-group-c-1415718/full-scorecard
Australia,England,Australia,36 runs,/cricket-grounds/kensington-oval-bridgetown-barbados-59429,"Jun 8, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-england-17th-match-group-b-1415717/full-scorecard
Netherlands,South Africa,South Africa,4 wickets,/cricket-grounds/nassau-county-international-cricket-stadium-new-york-1417066,"Jun 8, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/netherlands-vs-south-africa-16th-match-group-d-1415716/full-scorecard
Bangladesh,Sri Lanka,Bangladesh,2 wickets,/cricket-grounds/grand-prairie-stadium-dallas-1381196,"Jun 7, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-sri-lanka-15th-match-group-d-1415715/full-scorecard
Afghanistan,New Zealand,Afghanistan,84 runs,/cricket-grounds/providence-stadium-guyana-208544,"Jun 7, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-new-zealand-14th-match-group-c-1415714/full-scorecard
Canada,Ireland,Canada,12 runs,/cricket-grounds/nassau-county-international-cricket-stadium-new-york-1417066,"Jun 7, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/canada-vs-ireland-13th-match-group-a-1415713/full-scorecard
Namibia,Scotland,Scotland,5 wickets,/cricket-grounds/kensington-oval-bridgetown-barbados-59429,"Jun 6, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/namibia-vs-scotland-12th-match-group-b-1415712/full-scorecard
U.S.A.,Pakistan,tied,-,/cricket-grounds/grand-prairie-stadium-dallas-1381196,"Jun 6, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/united-states-of-america-vs-pakistan-11th-match-group-a-1415711/full-scorecard
Australia,Oman,Australia,39 runs,/cricket-grounds/kensington-oval-bridgetown-barbados-59429,"Jun 5, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-oman-10th-match-group-b-1415710/full-scorecard
P.N.G.,Uganda,Uganda,3 wickets,/cricket-grounds/providence-stadium-guyana-208544,"Jun 5, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/papua-new-guinea-vs-uganda-9th-match-group-c-1415709/full-scorecard
India,Ireland,India,8 wickets,/cricket-grounds/nassau-county-international-cricket-stadium-new-york-1417066,"Jun 5, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-ireland-8th-match-group-a-1415708/full-scorecard
Nepal,Netherlands,Netherlands,6 wickets,/cricket-grounds/grand-prairie-stadium-dallas-1381196,"Jun 4, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/nepal-vs-netherlands-7th-match-group-d-1415707/full-scorecard
England,Scotland,no result,-,/cricket-grounds/kensington-oval-bridgetown-barbados-59429,"Jun 4, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-scotland-6th-match-group-b-1415706/full-scorecard
Afghanistan,Uganda,Afghanistan,125 runs,/cricket-grounds/providence-stadium-guyana-208544,"Jun 3, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-uganda-5th-match-group-c-1415705/full-scorecard
South Africa,Sri Lanka,South Africa,6 wickets,/cricket-grounds/nassau-county-international-cricket-stadium-new-york-1417066,"Jun 3, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/south-africa-vs-sri-lanka-4th-match-group-d-1415704/full-scorecard
Namibia,Oman,tied,-,/cricket-grounds/kensington-oval-bridgetown-barbados-59429,"Jun 2, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/namibia-vs-oman-3rd-match-group-b-1415703/full-scorecard
West Indies,P.N.G.,West Indies,5 wickets,/cricket-grounds/providence-stadium-guyana-208544,"Jun 2, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-papua-new-guinea-2nd-match-group-c-1415702/full-scorecard
U.S.A.,Canada,U.S.A.,7 wickets,/cricket-grounds/grand-prairie-stadium-dallas-1381196,"Jun 1, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/united-states-of-america-vs-canada-1st-match-group-a-1415701/full-scorecard
